order_item_id,order_id,sku_id,quantity,unit_price,discount_code,discount_amount
1,ORD0000001,SKU0018,3.0,12.57,DISC10,10.0
2,ORD0000002,SKU0018,3.0,12.57,DISC5,5.0
3,ORD0000002,SKU0006,1.0,11.3,DISC10,10.0
4,ORD0000002,SKU0009,3.0,11.65,,0.0
5,ORD0000003,SKU0007,3.0,12.38,,0.0
6,ORD0000003,SKU0013,3.0,7.36,,0.0
7,ORD0000004,SKU0011,2.0,6.21,DISC10,10.0
8,ORD0000004,SKU0005,1.0,7.36,DISC5,5.0
9,ORD0000004,SKU0014,3.0,6.13,DISC10,10.0
10,ORD0000005,SKU0013,1.0,7.36,DISC10,10.0
11,ORD0000005,SKU0001,1.0,7.17,DISC10,10.0
12,ORD0000005,SKU0018,2.0,12.57,DISC5,5.0
13,ORD0000005,SKU0005,3.0,7.36,DISC10,10.0
14,ORD0000005,SKU0007,1.0,12.38,DISC5,5.0
15,ORD0000006,SKU0018,2.0,12.57,DISC5,5.0
16,ORD0000006,SKU0019,2.0,9.58,DISC5,5.0
17,ORD0000006,SKU0002,3.0,7.61,DISC5,5.0
18,ORD0000006,SKU0002,1.0,7.61,DISC5,5.0
19,ORD0000006,SKU0013,3.0,7.36,DISC5,5.0
20,ORD0000007,SKU0010,3.0,5.44,DISC10,10.0
21,ORD0000007,SKU0001,1.0,7.17,DISC5,5.0
22,ORD0000007,SKU0001,2.0,7.17,,0.0
23,ORD0000007,SKU0012,2.0,11.02,DISC10,10.0
24,ORD0000008,SKU0002,3.0,7.61,DISC10,10.0
25,ORD0000009,SKU0009,2.0,11.65,DISC5,5.0
26,ORD0000009,SKU0013,1.0,7.36,,0.0
27,ORD0000009,SKU0016,2.0,7.94,,0.0
28,ORD0000009,SKU0012,1.0,11.02,DISC10,10.0
29,ORD0000009,SKU0005,2.0,7.36,,0.0
30,ORD0000010,SKU0009,1.0,11.65,DISC10,10.0
31,ORD0000010,SKU0009,1.0,11.65,DISC10,10.0
32,ORD0000010,SKU0001,1.0,7.17,DISC5,5.0
33,ORD0000010,SKU0009,3.0,11.65,,0.0
34,ORD0000010,SKU0012,3.0,11.02,DISC10,10.0
35,ORD0000011,SKU0016,3.0,7.94,,0.0
36,ORD0000011,SKU0016,1.0,7.94,DISC5,5.0
37,ORD0000012,SKU0019,3.0,9.58,,0.0
38,ORD0000012,SKU0006,3.0,11.3,DISC5,5.0
39,ORD0000012,SKU0003,3.0,9.37,DISC10,10.0
40,ORD0000013,SKU0002,2.0,7.61,DISC10,10.0
41,ORD0000014,SKU0013,2.0,7.36,DISC5,5.0
42,ORD0000015,SKU0017,1.0,14.17,DISC10,10.0
43,ORD0000015,SKU0018,3.0,12.57,,0.0
44,ORD0000015,SKU0015,1.0,12.15,DISC5,5.0
45,ORD0000015,SKU0005,3.0,7.36,DISC10,10.0
46,ORD0000015,SKU0002,2.0,7.61,,0.0
47,ORD0000016,SKU0010,3.0,5.44,,0.0
48,ORD0000017,SKU0006,1.0,11.3,DISC10,10.0
49,ORD0000017,SKU0017,3.0,14.17,DISC5,5.0
50,ORD0000017,SKU0010,1.0,5.44,,0.0
51,ORD0000017,SKU0004,2.0,11.82,,0.0
52,ORD0000018,SKU0002,3.0,7.61,,0.0
53,ORD0000019,SKU0010,2.0,5.44,DISC10,10.0
54,ORD0000019,SKU0001,1.0,7.17,DISC10,10.0
55,ORD0000019,SKU0008,1.0,9.36,DISC10,10.0
56,ORD0000019,SKU0018,3.0,12.57,,0.0
57,ORD0000020,SKU0018,3.0,12.57,,0.0
58,ORD0000020,SKU0014,1.0,6.13,DISC5,5.0
59,ORD0000021,SKU0001,3.0,7.17,DISC5,5.0
60,ORD0000021,SKU0008,3.0,9.36,DISC5,5.0
61,ORD0000021,SKU0017,2.0,14.17,DISC5,5.0
62,ORD0000022,SKU0005,3.0,7.36,DISC5,5.0
63,ORD0000023,SKU0007,2.0,12.38,,0.0
64,ORD0000023,SKU0002,3.0,7.61,DISC5,5.0
65,ORD0000024,SKU0002,1.0,7.61,,0.0
66,ORD0000025,SKU0007,3.0,12.38,DISC5,5.0
67,ORD0000025,SKU0017,1.0,14.17,DISC10,10.0
68,ORD0000026,SKU0010,3.0,5.44,DISC10,10.0
69,ORD0000026,SKU0019,3.0,9.58,,0.0
70,ORD0000026,SKU0015,2.0,12.15,DISC5,5.0
71,ORD0000027,SKU0018,3.0,12.57,,0.0
72,ORD0000027,SKU0013,3.0,7.36,,0.0
73,ORD0000027,SKU0005,1.0,7.36,DISC5,5.0
74,ORD0000028,SKU0018,1.0,12.57,,0.0
75,ORD0000029,SKU0006,3.0,11.3,,0.0
76,ORD0000029,SKU0013,1.0,7.36,,0.0
77,ORD0000029,SKU0010,1.0,5.44,DISC10,10.0
78,ORD0000029,SKU0006,2.0,11.3,,0.0
79,ORD0000030,SKU0010,1.0,5.44,DISC5,5.0
80,ORD0000030,SKU0016,1.0,7.94,,0.0
81,ORD0000030,SKU0015,1.0,12.15,DISC5,5.0
82,ORD0000030,SKU0009,2.0,11.65,DISC5,5.0
83,ORD0000030,SKU0001,3.0,7.17,DISC10,10.0
84,ORD0000031,SKU0007,3.0,12.38,,0.0
85,ORD0000031,SKU0002,2.0,7.61,DISC10,10.0
86,ORD0000031,SKU0003,2.0,9.37,,0.0
87,ORD0000032,SKU0001,2.0,7.17,DISC10,10.0
88,ORD0000032,SKU0016,3.0,7.94,,0.0
89,ORD0000033,SKU0017,1.0,14.17,DISC5,5.0
90,ORD0000033,SKU0019,3.0,9.58,DISC10,10.0
91,ORD0000034,SKU0002,1.0,7.61,DISC5,5.0
92,ORD0000034,SKU0005,1.0,7.36,,0.0
93,ORD0000034,SKU0005,2.0,7.36,,0.0
94,ORD0000034,SKU0014,3.0,6.13,DISC5,5.0
95,ORD0000034,SKU0006,3.0,11.3,DISC5,5.0
96,ORD0000035,SKU0006,2.0,11.3,DISC5,5.0
97,ORD0000035,SKU0007,1.0,12.38,DISC10,10.0
98,ORD0000035,SKU0007,3.0,12.38,,0.0
99,ORD0000035,SKU0015,2.0,12.15,,0.0
100,ORD0000035,SKU0013,2.0,7.36,,0.0
101,ORD0000036,SKU0019,3.0,9.58,DISC5,5.0
102,ORD0000036,SKU0012,1.0,11.02,DISC10,10.0
103,ORD0000036,SKU0012,1.0,11.02,DISC5,5.0
104,ORD0000036,SKU0008,3.0,9.36,,0.0
105,ORD0000037,SKU0011,2.0,6.21,DISC10,10.0
106,ORD0000037,SKU0018,3.0,12.57,DISC10,10.0
107,ORD0000038,SKU0010,2.0,5.44,DISC5,5.0
108,ORD0000038,SKU0015,2.0,12.15,,0.0
109,ORD0000038,SKU0007,2.0,12.38,,0.0
110,ORD0000038,SKU0004,1.0,11.82,,0.0
111,ORD0000039,SKU0003,1.0,9.37,,0.0
112,ORD0000039,SKU0010,1.0,5.44,DISC5,5.0
113,ORD0000039,SKU0009,2.0,11.65,DISC10,10.0
114,ORD0000039,SKU0003,2.0,9.37,DISC5,5.0
115,ORD0000039,SKU0001,2.0,7.17,DISC5,5.0
116,ORD0000040,SKU0015,1.0,12.15,,0.0
117,ORD0000040,SKU0013,1.0,7.36,DISC5,5.0
118,ORD0000040,SKU0017,3.0,14.17,DISC5,5.0
119,ORD0000041,SKU0003,2.0,9.37,DISC10,10.0
120,ORD0000041,SKU0007,2.0,12.38,,0.0
121,ORD0000042,SKU0001,3.0,7.17,DISC10,10.0
122,ORD0000042,SKU0017,3.0,14.17,DISC5,5.0
123,ORD0000042,SKU0013,1.0,7.36,DISC5,5.0
124,ORD0000043,SKU0002,1.0,7.61,DISC10,10.0
125,ORD0000043,SKU0013,1.0,7.36,,0.0
126,ORD0000044,SKU0019,1.0,9.58,DISC5,5.0
127,ORD0000044,SKU0015,1.0,12.15,DISC10,10.0
128,ORD0000044,SKU0011,1.0,6.21,,0.0
129,ORD0000045,SKU0012,3.0,11.02,DISC5,5.0
130,ORD0000045,SKU0006,2.0,11.3,,0.0
131,ORD0000045,SKU0002,2.0,7.61,DISC10,10.0
132,ORD0000045,SKU0002,3.0,7.61,,0.0
133,ORD0000046,SKU0012,3.0,11.02,,0.0
134,ORD0000047,SKU0017,2.0,14.17,DISC5,5.0
135,ORD0000047,SKU0007,2.0,12.38,DISC5,5.0
136,ORD0000048,SKU0009,3.0,11.65,DISC10,10.0
137,ORD0000048,SKU0013,2.0,7.36,DISC10,10.0
138,ORD0000048,SKU0001,1.0,7.17,,0.0
139,ORD0000048,SKU0005,3.0,7.36,DISC5,5.0
140,ORD0000049,SKU0018,2.0,12.57,,0.0
141,ORD0000049,SKU0007,3.0,12.38,DISC10,10.0
142,ORD0000049,SKU0015,1.0,12.15,DISC10,10.0
143,ORD0000050,SKU0008,3.0,9.36,DISC5,5.0
144,ORD0000050,SKU0014,2.0,6.13,DISC5,5.0
145,ORD0000050,SKU0008,3.0,9.36,,0.0
146,ORD0000051,SKU0012,3.0,11.02,,0.0
147,ORD0000051,SKU0010,2.0,5.44,DISC5,5.0
148,ORD0000051,SKU0006,1.0,11.3,DISC10,10.0
149,ORD0000052,SKU0014,1.0,6.13,,0.0
150,ORD0000053,SKU0017,3.0,14.17,,0.0
151,ORD0000053,SKU0012,3.0,11.02,DISC10,10.0
152,ORD0000053,SKU0010,3.0,5.44,DISC10,10.0
153,ORD0000053,SKU0013,3.0,7.36,DISC5,5.0
154,ORD0000053,SKU0014,1.0,6.13,DISC10,10.0
155,ORD0000054,SKU0016,3.0,7.94,DISC10,10.0
156,ORD0000055,SKU0007,2.0,12.38,DISC10,10.0
157,ORD0000055,SKU0002,1.0,7.61,,0.0
158,ORD0000055,SKU0012,3.0,11.02,DISC5,5.0
159,ORD0000055,SKU0002,1.0,7.61,DISC10,10.0
160,ORD0000056,SKU0003,3.0,9.37,DISC5,5.0
161,ORD0000056,SKU0011,1.0,6.21,,0.0
162,ORD0000057,SKU0004,3.0,11.82,DISC5,5.0
163,ORD0000057,SKU0005,1.0,7.36,DISC10,10.0
164,ORD0000057,SKU0017,2.0,14.17,,0.0
165,ORD0000057,SKU0015,3.0,12.15,DISC5,5.0
166,ORD0000057,SKU0009,3.0,11.65,,0.0
167,ORD0000058,SKU0005,1.0,7.36,DISC5,5.0
168,ORD0000058,SKU0001,3.0,7.17,DISC5,5.0
169,ORD0000058,SKU0005,3.0,7.36,,0.0
170,ORD0000058,SKU0015,1.0,12.15,DISC10,10.0
171,ORD0000059,SKU0008,2.0,9.36,,0.0
172,ORD0000059,SKU0013,1.0,7.36,,0.0
173,ORD0000060,SKU0005,2.0,7.36,,0.0
174,ORD0000060,SKU0012,3.0,11.02,DISC10,10.0
175,ORD0000060,SKU0005,1.0,7.36,,0.0
176,ORD0000060,SKU0014,1.0,6.13,,0.0
177,ORD0000060,SKU0017,1.0,14.17,DISC5,5.0
178,ORD0000061,SKU0003,2.0,9.37,DISC10,10.0
179,ORD0000062,SKU0007,3.0,12.38,DISC10,10.0
180,ORD0000062,SKU0007,3.0,12.38,,0.0
181,ORD0000062,SKU0006,1.0,11.3,,0.0
182,ORD0000063,SKU0005,3.0,7.36,DISC5,5.0
183,ORD0000063,SKU0019,1.0,9.58,DISC10,10.0
184,ORD0000063,SKU0016,2.0,7.94,DISC5,5.0
185,ORD0000063,SKU0002,2.0,7.61,DISC10,10.0
186,ORD0000064,SKU0007,2.0,12.38,DISC10,10.0
187,ORD0000064,SKU0008,1.0,9.36,,0.0
188,ORD0000064,SKU0002,3.0,7.61,DISC10,10.0
189,ORD0000064,SKU0008,1.0,9.36,DISC5,5.0
190,ORD0000065,SKU0011,3.0,6.21,DISC5,5.0
191,ORD0000065,SKU0001,3.0,7.17,DISC10,10.0
192,ORD0000065,SKU0008,1.0,9.36,,0.0
193,ORD0000066,SKU0001,2.0,7.17,DISC5,5.0
194,ORD0000066,SKU0010,2.0,5.44,,0.0
195,ORD0000067,SKU0012,3.0,11.02,DISC10,10.0
196,ORD0000067,SKU0009,3.0,11.65,,0.0
197,ORD0000067,SKU0004,1.0,11.82,DISC5,5.0
198,ORD0000068,SKU0011,2.0,6.21,DISC10,10.0
199,ORD0000069,SKU0005,2.0,7.36,DISC5,5.0
200,ORD0000069,SKU0014,3.0,6.13,DISC5,5.0
201,ORD0000069,SKU0009,3.0,11.65,DISC10,10.0
202,ORD0000070,SKU0003,3.0,9.37,DISC10,10.0
203,ORD0000070,SKU0004,3.0,11.82,,0.0
204,ORD0000070,SKU0005,1.0,7.36,DISC10,10.0
205,ORD0000071,SKU0002,1.0,7.61,DISC5,5.0
206,ORD0000071,SKU0013,1.0,7.36,,0.0
207,ORD0000071,SKU0002,3.0,7.61,,0.0
208,ORD0000071,SKU0001,3.0,7.17,,0.0
209,ORD0000071,SKU0003,1.0,9.37,DISC10,10.0
210,ORD0000072,SKU0013,2.0,7.36,DISC5,5.0
211,ORD0000072,SKU0006,3.0,11.3,DISC5,5.0
212,ORD0000072,SKU0009,3.0,11.65,DISC5,5.0
213,ORD0000073,SKU0018,1.0,12.57,DISC5,5.0
214,ORD0000073,SKU0002,3.0,7.61,DISC10,10.0
215,ORD0000073,SKU0019,3.0,9.58,,0.0
216,ORD0000073,SKU0012,3.0,11.02,DISC10,10.0
217,ORD0000073,SKU0001,1.0,7.17,,0.0
218,ORD0000074,SKU0014,3.0,6.13,DISC10,10.0
219,ORD0000074,SKU0007,2.0,12.38,,0.0
220,ORD0000075,SKU0017,1.0,14.17,DISC5,5.0
221,ORD0000075,SKU0014,1.0,6.13,DISC10,10.0
222,ORD0000075,SKU0005,2.0,7.36,,0.0
223,ORD0000076,SKU0010,2.0,5.44,DISC10,10.0
224,ORD0000076,SKU0010,3.0,5.44,DISC5,5.0
225,ORD0000076,SKU0003,2.0,9.37,DISC5,5.0
226,ORD0000076,SKU0017,3.0,14.17,DISC10,10.0
227,ORD0000077,SKU0008,2.0,9.36,DISC10,10.0
228,ORD0000078,SKU0001,3.0,7.17,DISC10,10.0
229,ORD0000078,SKU0012,2.0,11.02,DISC10,10.0
230,ORD0000078,SKU0015,1.0,12.15,DISC5,5.0
231,ORD0000078,SKU0008,1.0,9.36,DISC5,5.0
232,ORD0000078,SKU0004,1.0,11.82,DISC10,10.0
233,ORD0000079,SKU0007,1.0,12.38,,0.0
234,ORD0000079,SKU0008,2.0,9.36,DISC10,10.0
235,ORD0000079,SKU0007,2.0,12.38,,0.0
236,ORD0000079,SKU0007,2.0,12.38,,0.0
237,ORD0000080,SKU0015,2.0,12.15,,0.0
238,ORD0000080,SKU0016,1.0,7.94,DISC5,5.0
239,ORD0000081,SKU0009,1.0,11.65,,0.0
240,ORD0000081,SKU0002,1.0,7.61,DISC10,10.0
241,ORD0000081,SKU0013,2.0,7.36,DISC5,5.0
